Age,High School Diploma,"Some College, No Degree",Associate Degree,Bachelor's Degree
18,"$20,500",$0,$0,$0
19,"$40,403","$16,830",$0,$0
20,"$64,533","$39,674","$25,294",$0
21,"$87,961","$61,852","$49,852",$0
22,"$110,706","$83,385","$73,695","$24,477"
23,"$132,789","$104,290","$96,843","$48,241"
24,"$154,229","$124,586","$119,317","$71,313"
25,"$179,841","$151,284","$148,616","$102,982"
26,"$204,707","$177,204","$177,063","$133,729"
27,"$228,850","$202,369","$204,680","$163,581"
28,"$252,289","$226,802","$231,494","$192,562"
29,"$275,045","$251,509","$257,526","$220,700"
30,"$299,733","$279,704","$288,036","$255,242"
31,"$323,703","$307,078","$317,658","$288,779"
32,"$346,974","$333,655","$346,416","$328,842"
33,"$369,568","$359,458","$374,337","$367,739"
34,"$391,503","$384,509","$401,445","$405,503"
35,"$415,159","$411,977","$431,756","$448,096"
36,"$438,126","$438,645","$461,185","$489,449"
37,"$460,425","$464,536","$489,756","$529,597"
38,"$482,073","$489,673","$517,495","$568,576"
39,"$503,092","$514,077","$544,426","$606,419"
40,"$524,280","$539,494","$571,669","$645,822"
41,"$544,852","$564,169","$598,119","$684,077"
42,"$564,825","$588,127","$623,798","$721,218"
43,"$584,215","$611,386","$648,729","$757,278"
44,"$603,041","$633,968","$672,933","$792,287"
45,"$622,084","$656,973","$697,379","$828,347"
46,"$640,573","$679,307","$721,112","$863,357"
47,"$658,523","$700,991","$744,154","$897,347"
48,"$675,950","$722,044","$766,525","$930,347"
49,"$692,869","$742,483","$788,244","$962,386"
50,"$709,762","$762,754","$809,797","$993,647"
51,"$726,162","$782,435","$830,722","$1,023,998"
52,"$742,085","$801,543","$851,037","$1,053,464"
53,"$757,544","$820,094","$870,761","$1,082,073"
54,"$772,553","$838,104","$889,910","$1,109,848"
55,"$787,125","$855,624","$908,770","$1,136,814"
56,"$801,273","$872,633","$927,080","$1,162,994"
57,"$815,008","$889,147","$944,857","$1,188,413"
58,"$828,343","$905,180","$962,116","$1,213,090"
59,"$841,290","$920,746","$978,873","$1,237,050"
60,"$853,715","$935,830","$995,141","$1,259,039"
61,"$865,778","$950,474","$1,010,936","$1,280,389"
62,"$877,490","$964,692","$1,026,270","$1,301,116"
63,"$888,861","$978,496","$1,041,158","$1,321,240"
64,"$899,901","$991,897","$1,055,612","$1,340,778"