Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change
71-72,"$1,830",—,$430,—,$190,—,"$2,930",—,"$1,410",—
72-73,"$1,950",6.6%,$500,16.3%,$230,21.1%,"$3,090",5.5%,"$1,550",9.9%
73-74,"$2,050",5.1%,$510,2.0%,$270,17.4%,"$3,220",4.2%,"$1,600",3.2%
74-75,"$2,130",3.9%,$510,0.0%,$280,3.7%,"$3,420",6.2%,"$1,650",3.1%
75-76,"$2,290",7.5%,$540,5.9%,$250,-10.7%,"$3,680",7.6%,"$1,780",7.9%
76-77,"$2,530",10.5%,$620,14.8%,$280,12.0%,"$3,980",8.2%,"$1,940",9.0%
77-78,"$2,700",6.7%,$660,6.5%,$310,10.7%,"$4,240",6.5%,"$2,040",5.2%
78-79,"$2,960",9.6%,$690,4.5%,$330,6.5%,"$4,610",8.7%,"$2,150",5.4%
79-80,"$3,230",9.1%,$740,7.2%,$360,9.1%,"$5,010",8.7%,"$2,330",8.4%
80-81,"$3,620",12.1%,$800,8.1%,$390,8.3%,"$5,590",11.6%,"$2,550",9.4%
81-82,"$4,110",13.5%,$910,13.8%,$430,10.3%,"$6,330",13.2%,"$2,870",12.5%
82-83,"$4,640",12.9%,"$1,030",13.2%,$470,9.3%,"$7,130",12.6%,"$3,200",11.5%
83-84,"$5,090",9.7%,"$1,150",11.7%,$530,12.8%,"$7,760",8.8%,"$3,430",7.2%
84-85,"$5,560",9.2%,"$1,230",7.0%,$580,9.4%,"$8,450",8.9%,"$3,680",7.3%
85-86,"$6,120",10.1%,"$1,320",7.3%,$640,10.3%,"$8,900",5.3%,"$3,860",4.9%
86-87,"$6,660",8.8%,"$1,410",6.8%,$660,3.1%,"$9,850",10.7%,"$4,050",4.9%
87-88,"$7,050",5.9%,"$1,490",5.7%,$740,12.1%,"$10,460",6.2%,"$4,200",3.7%
88-89,"$8,000",13.5%,"$1,580",6.0%,$800,8.1%,"$11,660",11.5%,"$4,460",6.2%
89-90,"$8,660",8.3%,"$1,700",7.6%,$840,5.0%,"$12,560",7.7%,"$4,720",5.8%
90-91,"$9,340",7.9%,"$1,910",12.4%,$910,8.3%,"$13,480",7.3%,"$5,070",7.4%
91-92,"$9,810",5.0%,"$2,110",10.5%,"$1,170",28.6%,"$14,190",5.3%,"$5,450",7.5%
92-93,"$10,450",6.5%,"$2,330",10.4%,"$1,120",-4.3%,"$15,030",5.9%,"$5,830",7.0%
93-94,"$11,010",5.4%,"$2,540",9.0%,"$1,250",11.6%,"$15,800",5.1%,"$6,210",6.5%
94-95,"$11,720",6.4%,"$2,710",6.7%,"$1,310",4.8%,"$16,500",4.4%,"$6,620",6.6%
95-96,"$12,220",4.3%,"$2,810",3.7%,"$1,330",1.5%,"$17,380",5.3%,"$6,740",1.8%
96-97,"$12,990",6.3%,"$2,980",6.0%,"$1,470",10.5%,"$18,360",5.6%,"$7,140",5.9%
97-98,"$13,790",6.2%,"$3,110",4.4%,"$1,570",6.8%,"$19,360",5.4%,"$7,470",4.6%
98-99,"$14,710",6.7%,"$3,250",4.5%,"$1,550",-1.3%,"$20,460",5.7%,"$7,770",4.0%
99-00,"$15,520",5.5%,"$3,360",3.4%,"$1,650",6.5%,"$21,480",5.0%,"$8,080",4.0%
00-01,"$16,070",3.5%,"$3,510",4.5%,"$1,640",-0.6%,"$22,240",3.5%,"$8,440",4.5%
01-02,"$17,380",8.2%,"$3,770",7.4%,"$1,610",-1.8%,"$23,860",7.3%,"$9,030",7.0%
02-03,"$18,060",3.9%,"$4,100",8.8%,"$1,670",3.7%,"$24,870",4.2%,"$9,670",7.1%
03-04,"$18,950",4.9%,"$4,650",13.4%,"$1,910",14.4%,"$26,060",4.8%,"$10,530",8.9%
04-05,"$20,050",5.8%,"$5,130",10.3%,"$2,080",8.9%,"$27,470",5.4%,"$11,380",8.1%
05-06,"$20,980",4.6%,"$5,490",7.0%,"$2,180",4.8%,"$28,740",4.6%,"$12,120",6.5%
06-07,"$22,310",6.3%,"$5,800",5.6%,"$2,270",4.1%,"$30,500",6.1%,"$12,840",5.9%
07-08,"$23,420",5.0%,"$6,190",6.7%,"$2,290",0.9%,"$31,990",4.9%,"$13,560",5.6%
08-09,"$24,820",6.0%,"$6,600",6.6%,"$2,380",3.9%,"$33,800",5.7%,"$14,370",6.0%
09-10,"$25,740",3.7%,"$7,070",7.1%,"$2,570",8.0%,"$35,070",3.8%,"$15,240",6.1%
10-11,"$26,770",4.0%,"$7,630",7.9%,"$2,740",6.6%,"$36,470",4.0%,"$16,180",6.2%
11-12,"$27,880",4.1%,"$8,280",8.5%,"$2,970",8.4%,"$37,970",4.1%,"$17,160",6.1%
12-13,"$28,990",4.0%,"$8,650",4.5%,"$3,150",6.1%,"$39,450",3.9%,"$17,820",3.8%
13-14,"$30,130",3.9%,"$8,890",2.8%,"$3,240",2.9%,"$40,960",3.8%,"$18,380",3.1%
14-15,"$31,280",3.8%,"$9,150",2.9%,"$3,340",3.1%,"$42,450",3.6%,"$18,930",3.0%
15-16,"$32,340",3.4%,"$9,430",3.1%,"$3,400",1.8%,"$43,880",3.4%,"$19,570",3.4%
16-17,"$33,500",3.6%,"$9,670",2.5%,"$3,460",1.8%,"$45,350",3.4%,"$20,150",3.0%
17-18,"$34,710",3.6%,"$9,980",3.2%,"$3,540",2.3%,"$47,000",3.6%,"$20,790",3.2%
18-19,"$35,680",2.8%,"$10,210",2.3%,"$3,630",2.5%,"$48,290",2.7%,"$21,400",2.9%
19-20,"$36,880",3.4%,"$10,440",2.3%,"$3,700",1.9%,"$49,870",3.3%,"$21,950",2.6%
20-21,"$37,270",1.1%,"$10,570",1.2%,"$3,750",1.4%,"$50,580",1.4%,"$22,290",1.5%
21-22,"$38,070",2.1%,"$10,750",1.7%,"$3,800",1.3%,"$51,690",2.2%,"$22,700",1.8%
22-23,"$39,940",4.9%,"$10,990",2.2%,"$3,890",2.4%,"$53,970",4.4%,"$23,300",2.6%
23-24,"$41,540",4.0%,"$11,260",2.5%,"$3,990",2.6%,"$56,190",4.1%,"$24,030",3.1%